id,nm,lat,lon,countryCode
819827,Razvilka,55.591667,37.740833,ru
524901,Moscow,55.752219999999994,37.615555,ru
1271881,Firozpur Jhirka,27.799999,76.949997,in
1283240,Kathmandu,27.716666999999998,85.316666,np
703448,Kiev,50.433334,30.516665999999997,ua
1282898,Pokhara,28.233334000000003,83.98333000000001,np
3632308,Merida,8.598333,-71.144997,ve
1273294,Delhi,28.666667999999998,77.216667,in
502069,Reshetnikovo,56.450001,36.566666,ru
3645532,Ciudad Bolivar,8.122222,-63.549721,ve
529368,Marfino,55.702778,37.382221,ru
462755,Zhukovskiy,55.59528,38.120277,ru
502018,Reutov,55.75944499999999,37.861668,ru
538601,Kurovskoye,55.578334999999996,38.910831,ru
463355,Zheleznodorozhnyy,55.750278,38.004166,ru
560756,Golitsyno,55.612221,36.983334,ru
509820,Petrozavodsk,61.784912,34.346909000000004,ru
498817,Saint Petersburg,59.89444399999999,30.264167999999998,ru
547560,Klimovsk,55.364723,37.525002,ru
1496747,Novosibirsk,55.041111,82.934441,ru
709717,Donetsk,48.0,37.799999,ua
555746,Istra,55.917778000000006,36.864166,ru
712969,Bakhchysaray,44.75,33.866669,ua
569591,Chekhov,55.143055000000004,37.471111,ru
532477,Lyubuchany,55.25111,37.545555,ru
471457,Vostryakovo,55.400555000000004,37.811111,ru
711660,Boryspil,50.349998,30.950001,ua
564719,Dubna,56.733334,37.166668,ru
564912,Druzhba,55.885555000000004,37.740276,ru
571557,Bronnitsy,55.419444999999996,38.270832,ru
563705,Dzerzhinskiy,55.628613,37.846942999999996,ru
532657,Lytkarino,55.58139,37.905834000000006,ru
523812,Mytishchi,55.90889,37.733891,ru
503977,Pushkino,56.017223,37.866669,ru
505597,Pravdinskiy,56.066666000000005,37.849998,ru
463826,Zelenogradskiy,56.099998,37.916668,ru
580597,Ashukino,56.16,37.950001,ru
549373,Khotkovo,56.256989000000004,37.995441,ru
497165,Semkhoz,56.283333,38.066666,ru
496638,Sergiyev Posad,56.299999,38.133331,ru
580881,Arsaki,56.380001,38.48,ru
487095,Strunino,56.383331000000005,38.566666,ru
583350,Aleksandrov,56.400002,38.709998999999996,ru
552977,Karabanovo,56.316666000000005,38.700001,ru
548278,Kirzhach,56.150002,38.866669,ru
515024,Orekhovo-Zuyevo,55.810832999999995,38.971942999999996,ru
535243,Likino-Dulevo,55.711666,38.954445,ru
566950,Davydovo,55.609722,38.856945,ru
557132,Ilinskiy Pogost,55.477222,38.911945,ru
468250,Yegoryevsk,55.378333999999995,39.041111,ru
562445,Fosforitnyy,55.326111,38.900002,ru
549531,Khorlovo,55.335278,38.813057,ru
534174,Lopatinskiy,55.340557,38.725555,ru
531098,Malino,55.111111,38.18,ru
526652,Mikhnevo,55.127219999999994,37.952221,ru
526651,Mikhnevo,55.134724,37.944721,ru
487441,Stolbovaya,55.252777,37.485279,ru
540030,Kubinka,55.583889,36.689999,ru
505824,Povarovo,56.066666000000005,37.049999,ru
557382,Iksha,56.16666800000001,37.516666,ru
565955,Dmitrov,56.349998,37.516666,ru
492333,Skoropuskovskiy,56.366668999999995,38.166668,ru
529638,Mamontovka,55.99944300000001,37.814167,ru
694320,Shchebetovka,44.933334,35.150002,ua
1261481,New Delhi,28.612820000000003,77.23114,in
1271951,Faridabad,28.433332,77.316666,in
1260637,Palwal,28.15,77.333336,in
1270000,Hodal,27.9,77.36666899999999,in
1266073,Kosi,27.799999,77.433334,in
1274343,Chhata,27.716666999999998,77.5,in
1263364,Mathura,27.5,77.683334,in
1271059,Gokul,27.450001,77.716667,in
1271956,Farah,27.333332000000002,77.76666999999999,in
1279259,Agra,27.183332,78.01666999999999,in
1266510,Kiraoli,27.15,77.783333,in
1271900,Fatehpur Sikri,27.1,77.666664,in
1276128,Bharatpur,27.216666999999998,77.48333000000001,in
1264323,Mahwah,27.049999,76.933334,in
1273369,Dausa,26.883333,76.333336,in
1276767,Basi,26.833332000000002,76.033333,in
1269515,Jaipur,26.916667999999998,75.816666,in
1263649,Manoharpur,27.299999,75.949997,in
